,Accuracy,Precision,Recall,F1-Score,ROC-AUC
K-Nearest Neighbors,0.9,1.0,0.7857142857142857,0.88,0.959263392857143
Logistic Regression,0.9166666666666666,1.0,0.8214285714285714,0.9019607843137255,0.953125
Random Forest,0.8833333333333333,0.9565217391304348,0.7857142857142857,0.8627450980392157,0.9447544642857144
Support Vector Machine,0.9,1.0,0.7857142857142857,0.88,0.9397321428571428
AdaBoost,0.85,0.9523809523809523,0.7142857142857143,0.8163265306122449,0.9352678571428572
Gradient Boosting,0.8666666666666667,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9263392857142857
Naive Bayes,0.8666666666666667,1.0,0.7142857142857143,0.8333333333333334,0.9129464285714285
Bagging Classifier,0.8,0.8636363636363636,0.6785714285714286,0.76,0.8878348214285714
Decision Tree,0.7833333333333333,0.8,0.7142857142857143,0.7547169811320755,0.7790178571428572
Extra Tree,0.7666666666666667,0.75,0.75,0.75,0.765625
Ridge Classifier,0.9,1.0,0.7857142857142857,0.88,
